DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
48463.14823116453,12409.062455294403,11731.943338089766,278,69,84,0.0967741935483871,0.21428571428571427,0.18888888888888888
57652.606962130136,10158.928191083434,11820.007965275328,281,62,80,0.04516129032258064,0.13095238095238096,0.15555555555555556
18645.65616584574,14809.006763057556,12213.912016014308,110,80,82,0.05161290322580645,0.16901408450704225,0.15555555555555556
17325.610475464113,14283.990611031293,16004.072382579832,107,80,85,0.1032258064516129,0.16901408450704225,0.2111111111111111
31547.630986039112,12549.493631838372,15285.068730635527,109,78,81,0.07741935483870968,0.16901408450704225,0.17777777777777778
24577.92980376585,12573.174093989513,12449.080812190996,111,80,83,0.09032258064516129,0.22535211267605634,0.17777777777777778
19409.627173557878,13910.903946783617,11817.99665204171,107,79,81,0.1032258064516129,0.22535211267605634,0.16666666666666666
20890.53656827097,12504.230845213571,18679.00940880125,112,75,79,0.08387096774193549,0.18309859154929578,0.17777777777777778
13881.040063797072,9567.48223185144,12678.783377830006,105,75,82,0.08387096774193549,0.2112676056338028,0.16666666666666666
20688.858815024312,15142.220067248956,10785.527070001473,110,76,80,0.09032258064516129,0.19718309859154928,0.16666666666666666
22656.218633575616,14393.551386416164,9031.99675236969,108,76,78,0.1032258064516129,0.16901408450704225,0.17777777777777778
18400.7322606734,11512.53296286619,13742.199884369249,108,79,84,0.11612903225806452,0.19718309859154928,0.18888888888888888
19410.740952701446,11238.812238351087,14062.61993692953,111,76,82,0.05806451612903226,0.18309859154929578,0.15555555555555556
22852.826073629407,12909.494556509795,17289.125362173367,109,82,80,0.09032258064516129,0.22535211267605634,0.16666666666666666
19199.76261419523,13119.461537757907,11176.59448518626,111,77,82,0.10967741935483871,0.15492957746478872,0.2111111111111111
22588.02286747963,14575.123073661058,30587.764807599902,111,76,166,0.09696969696969697,0.16901408450704225,0.17391304347826086
19730.72411212732,14529.760109624967,34366.342915172485,109,79,163,0.08484848484848485,0.18309859154929578,0.15217391304347827
17613.832877039044,10688.350482958,40028.23765926774,111,74,166,0.08484848484848485,0.15492957746478872,0.18478260869565216
21886.359363081552,47409.741224733894,32796.85589644084,103,303,158,0.11515151515151516,0.18888888888888888,0.18478260869565216
19734.284445269088,53315.942993616976,27607.786147583738,99,302,161,0.09696969696969697,0.18888888888888888,0.18478260869565216
27252.09101937412,63246.17545016289,32589.72168728011,100,305,160,0.09696969696969697,0.15555555555555556,0.17391304347826086
26485.945648899527,59369.051098187185,28894.626254581843,100,309,160,0.09696969696969697,0.18888888888888888,0.17391304347826086
18262.71187208568,57164.67373453746,30794.212203536914,98,300,159,0.09696969696969697,0.2,0.18478260869565216
