DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
24606.8932075648,33696.1718214025,25451.974718698442,165,178,161,0.43243243243243246,0.2620320855614973,0.0594059405940594
22396.970616662795,18840.928146917387,23498.059290658217,162,180,171,0.35714285714285715,0.2871287128712871,0.44554455445544555
16513.774653740504,22092.96331482485,27873.305309803185,140,153,166,0.3865546218487395,0.47619047619047616,0.41496598639455784
50184.54792592136,36541.93492108598,26541.98746481244,363,231,166,0.4158415841584158,0.29411764705882354,0.38613861386138615
23940.624151160504,30046.156993789387,21813.946050829865,156,146,160,0.21782178217821782,0.5346534653465347,0.36633663366336633
33136.85091701772,28597.244712901927,20961.795223627007,149,157,169,0.44554455445544555,0.5841584158415841,0.3795620437956204
39828.301498972105,27452.012039697205,31185.891988855077,232,150,154,0.48514851485148514,0.5445544554455446,0.5841584158415841
34634.36707414461,55491.819889218,29677.159698344352,149,269,149,0.4258064516129032,0.6039603960396039,0.4752475247524752
26218.288459816253,29890.861434415772,25877.00864448333,148,144,145,0.3939393939393939,0.3564356435643564,0.5841584158415841
43943.576897615734,25144.85537894381,32996.65830410925,248,138,151,0.5544554455445545,0.32673267326732675,0.594059405940594
31012.07627375023,24776.864956653397,32675.874559511238,152,180,152,0.504950495049505,0.4158415841584158,0.6237623762376238
49207.793213092235,25349.88901861535,32463.78815509571,259,153,142,0.40594059405940597,0.5148514851485149,0.5544554455445545
29021.911374146035,28127.539316293183,53300.09902631942,135,157,303,0.3037974683544304,0.12871287128712872,0.3472222222222222
47967.50789351823,27140.163712057587,25360.98081918685,259,140,128,0.5038759689922481,0.37623762376237624,0.3865979381443299
37269.07316787551,34706.08099469253,29717.06435186237,182,164,150,0.5445544554455446,0.37623762376237624,0.549618320610687
48921.23792965597,31758.402034458846,28910.749637915844,269,148,139,0.5407407407407407,0.594059405940594,0.13861386138613863
66971.81584421129,28028.05832610224,57950.20875004089,385,142,330,0.3588235294117647,0.5742574257425742,0.6633663366336634
37153.1175558594,30608.266251174417,30902.128926654976,179,150,144,0.3930635838150289,0.5247524752475248,0.504
25283.171717368947,32289.284667330812,37612.07139671422,151,152,182,0.42574257425742573,0.39751552795031053,0.4752475247524752
32519.996611162154,26341.445403586895,23340.87026912959,144,153,179,0.37222222222222223,0.5,0.5841584158415841
29152.650730021996,28604.992715431374,37494.72938421824,165,167,180,0.15841584158415842,0.3465346534653465,0.48514851485148514
28859.63662995736,30498.591767869388,28575.60189453114,166,168,167,0.4752475247524752,0.18811881188118812,0.25742574257425743
26715.993544767047,31204.454358635427,25328.478841664346,159,164,149,0.2376237623762376,0.2671232876712329,0.1782178217821782
28304.198451722787,40935.14309306844,28356.723342118436,174,245,160,0.26732673267326734,0.18811881188118812,0.2079207920792079
28000.3763655671,36227.83691924481,30810.162561688747,162,185,177,0.39603960396039606,0.20909090909090908,0.21782178217821782
30284.31332169811,31161.322000895554,28198.330192836747,165,168,163,0.38613861386138615,0.22772277227722773,0.40594059405940597
32412.814220371045,49056.56459780135,26830.09647496569,163,285,161,0.44144144144144143,0.33766233766233766,0.1782178217821782
30840.857603845434,28812.494341969243,29102.999310131167,162,160,159,0.4954128440366973,0.18811881188118812,0.2376237623762376
30852.65979183744,31642.220234054854,32448.00019594766,166,167,164,0.39603960396039606,0.26063829787234044,0.3069306930693069
27017.128323839817,48528.14356274543,27745.647960533563,175,317,170,0.16831683168316833,0.2857142857142857,0.46534653465346537
27280.749671414887,31150.158012698073,24152.482654916916,164,167,148,0.26732673267326734,0.2871287128712871,0.31683168316831684
26792.925268007333,29625.61145231492,27281.46408104352,165,177,150,0.2871287128712871,0.21782178217821782,0.1782178217821782
32880.61560569398,31759.860117443004,30633.123785260002,159,174,161,0.22772277227722773,0.24822695035460993,0.4752475247524752
27956.040687261404,45855.15791514915,27031.469736230105,159,237,167,0.36633663366336633,0.27722772277227725,0.19801980198019803
26502.46693868552,40010.69656589042,28856.317607489807,159,233,171,0.32673267326732675,0.16831683168316833,0.19801980198019803
20545.958399292493,31020.05767361672,26856.433059604413,163,215,166,0.5742574257425742,0.6138613861386139,0.26732673267326734
22516.076268833185,23237.624634568143,28586.300507799922,150,150,157,0.31683168316831684,0.5544554455445545,0.6435643564356436
24863.837289757445,35667.761873099415,21678.695422345892,156,257,151,0.5742574257425742,0.5190839694656488,0.5643564356435643
