DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
11405.844958508012,6020.571907478438,11825.472591355536,78,69,68,0.3783783783783784,0.7333333333333333,0.21
0.0,16469.50490008938,0.0,0,121,0,1.0,0.6052631578947368,1.0
11024.52975195133,7176.156278409067,10302.593021383786,91,87,70,0.20270270270270271,0.3333333333333333,0.35
17393.31266030576,6353.5201395953945,11522.122188802685,103,61,89,0.40540540540540543,0.32954545454545453,0.57
14306.368130726181,13999.929778922293,12048.692057115079,106,132,68,0.5897435897435898,0.36065573770491804,0.52
10218.478942475453,11753.112130371986,10042.464162854778,64,86,66,0.5675675675675675,0.28865979381443296,0.12
9731.874546551506,5705.672268653958,23011.868431038416,66,61,79,0.4444444444444444,0.23333333333333334,0.35
19660.36482088418,5346.750395634571,15041.079212828114,140,68,108,0.5135135135135135,0.4666666666666667,0.4
13382.384552865107,10190.943708127921,14132.598851103463,72,86,114,0.47297297297297297,0.5714285714285714,0.55
12121.466330652307,7349.23885667992,20344.522477446026,85,71,153,0.4594594594594595,0.6571428571428571,0.4
7467.983346286995,5232.384900519761,18976.38018418012,68,42,117,0.35135135135135137,0.3958333333333333,0.38
14102.5847963112,4824.351442730913,16779.630434677987,98,42,121,0.527027027027027,0.43137254901960786,0.59
15461.89429597438,16341.386707427873,10248.743833571563,104,83,74,0.4594594594594595,0.6428571428571429,0.26
12629.484249317831,6303.308963113442,16450.75535021875,95,59,109,0.5,0.5666666666666667,0.51
15342.576454118604,0.0,10258.654450411495,96,0,77,0.16666666666666666,1.0,0.28846153846153844
11944.758154114526,5127.200653465745,8506.784013938517,88,42,51,0.18333333333333332,0.5862068965517241,0.3269230769230769
13765.213427477065,16948.467665818764,11009.586493787861,99,130,57,0.15151515151515152,0.5263157894736842,0.3076923076923077
11024.52975195133,4797.274740733986,10302.593021383786,91,58,70,0.20270270270270271,0.35714285714285715,0.35
0.0,4259.08935898369,0.0,0,43,0,1.0,0.26136363636363635,1.0
15234.386776554991,13799.256180096383,14834.984534411626,99,150,101,0.23809523809523808,0.39344262295081966,0.3522727272727273
13398.969058839588,9675.993737429326,11320.223195297034,104,90,59,0.15384615384615385,0.26804123711340205,0.3717948717948718
8249.241505444976,5327.256636815895,8388.752159124924,75,51,54,0.20833333333333334,0.2857142857142857,0.23076923076923078
9023.280865173901,5374.3602838145525,16389.734023973033,89,49,84,0.12222222222222222,0.6428571428571429,0.4230769230769231
13591.11209511227,5770.704514625045,18051.674252144414,114,56,120,0.2549019607843137,0.47619047619047616,0.4266666666666667
9773.95857806142,5051.6960762939325,19066.446167490427,81,51,133,0.1746031746031746,0.5428571428571428,0.3670886075949367
