DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
15943.411964363208,13593.872270810125,30649.741377150935,78,77,162,0.4625,0.4166666666666667,0.66
51146.01285028268,18214.75491900306,54440.16682424118,285,70,291,0.5625,0.49,0.42592592592592593
23077.126171435662,14676.330305148475,22397.210921455175,139,65,115,0.4008438818565401,0.13333333333333333,0.4845360824742268
46854.111002242214,25984.016727644008,19419.192731370633,265,108,139,0.4186046511627907,0.5111111111111111,0.46564885496183206
43731.27657446994,36521.18582210049,21704.882118892394,222,140,93,0.6125,0.4222222222222222,0.22
52578.948027396444,24407.57509645798,73455.37243474089,293,119,324,0.4148148148148148,0.44,0.53
69552.2539848985,20690.802953014536,25267.95971112521,388,105,133,0.5470588235294118,0.51,0.584
38109.05112112657,30877.249989352094,39207.440977244114,205,117,168,0.45664739884393063,0.35,0.48148148148148145
15454.119948821342,25416.232619995855,4547.648379546895,75,139,22,0.5531914893617021,0.5093167701863354,0.56
26202.98134904083,15925.288039809631,38964.19929764452,133,69,192,0.40555555555555556,0.6203703703703703,0.5873015873015873
43497.86467232266,10436.6393490965,28718.130026487564,297,64,180,0.40268456375838924,0.58,0.30976430976430974
24795.00107917649,16024.526475989554,32625.891350453596,153,134,187,0.44,0.5283018867924528,0.4873417721518987
56269.66607570695,7605.432519312841,18009.63367478428,322,66,132,0.5,0.5460992907801419,0.340080971659919
32213.49820782616,39805.44358225729,37572.25875450732,210,256,228,0.45,0.3605150214592275,0.47
60821.950157002655,15412.126328410279,27085.879194080368,401,105,159,0.5227272727272727,0.6375,0.46405228758169936
19857.970445520023,19732.075563523253,28728.616642300713,142,128,205,0.5648148148148148,0.31970260223048325,0.5142857142857142
20399.00174331928,77441.6183796835,39767.643869300315,139,536,224,0.37962962962962965,0.35267857142857145,0.45985401459854014
34443.58972429562,7295.658715338502,24395.705683242024,219,48,142,0.436241610738255,0.5,0.49230769230769234
21496.48901668063,16311.88789696294,13141.752256654576,136,93,74,0.3185483870967742,0.3870967741935484,0.5054945054945055
25676.641187852834,23717.798502040838,77228.26920900625,197,161,478,0.35148514851485146,0.6923076923076923,0.5307692307692308
22841.437033000937,59942.15982826961,90165.271732689,189,410,593,0.57,0.283987915407855,0.2430167597765363
31039.438771558605,57621.42504986081,15579.438992074081,216,320,91,0.06,0.5217391304347826,0.5641025641025641
23756.16161366311,26919.4822912593,15003.083293460008,156,179,95,0.5066666666666667,0.7058823529411765,0.5411764705882353
25825.90763201217,52441.639357450535,19653.926052579885,150,350,108,0.4701492537313433,0.44242424242424244,0.45222929936305734
37223.89208998615,47656.408421089654,53721.450343311364,247,328,381,0.5398230088495575,0.3936651583710407,0.46153846153846156
18490.94332878981,21698.298283331533,9986.836284607647,130,160,66,0.53,0.5925925925925926,0.5666666666666667
18864.812860445905,20518.855762382816,30725.293564658412,120,125,186,0.35,0.61,0.4852941176470588
20839.889475684686,58075.092890718,17122.58660992649,122,373,102,0.22666666666666666,0.539568345323741,0.46153846153846156
